Charge;N° Parc;N° Série;Réception;Référence;Désignation;Stock;Quart;Déposant;Lot;Date Création;Utilisateur;UL Contenue;Type réception;Type Edition;Tron Dest.;Tron.;Temps passé en atelier;Tournée;Stock Préc.;Statut;Site;Rot;Réparateur;Rendre Charge Dispo?;Réf Fourn.;Ref Client;Rebut ?;Réaffecter;Rng Dest;Rng;Qrt Dest;Qté UL contenu;Qté Rés;Qté à Regrouper;Qté Dispo;Prix Unit d'achat.;Profondeur;Prestation Atelier;Prél.;Pos Dest;Pos;Poids;Charge Org Vide?;Numéro du support;N° Recept;Numéro de facture;Nom technicien;Nom etiq Charge;Niv Dest;Niv;Multi Réf?;Mouvement;Charges assemblage;Maj Charge?;Lot de Fabrication;Lot Préc.;Ligne Rec;Adresse;Largeur;A Inventorier?;Init Prix d'achat.;H Creation;Hauteur;H Rebut;H Réaffect;Heure cloture atelier;Heure prise en main;Gtin;Flag Charge?;Famille Log;Famille;Etat Final;Etat;Emb_Pal;EAN13;Dotation;DLUO;Dernier invent.;Date Fab;Dern. Mvt;Date Dernier Prelvt;Date Dernier mvt;Condit;Type Ano;Commentaire Atelier;Code UM;UL;Charge Org;Charge Dest;Bat Dest;Bat;Al Dest;Allée;Affectation
"08279310";"";"ENOGEN22SB-CG-0035202";"00455967";"B00024220";"BORNE ENOVATES";"GOOD";"APP";"TETCSV";"159/0032";"27/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"01";"01";"REC";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"A";"A";"0,00 Kg";"Non";"";"03184368";"";"";"Etiq_Charge.xml";"0";"0";"Non";"-";"Oui";"Non";"";"";"2";"APP A 01 0 A";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11787950";"";"12/01/2026";"";"-";"";"UNITE";"UNITE";"";"";"1";"1";"F";"A";"TETCSVGOOD"
"08275854";"";"ENOGEN22SB-CG-0035232";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"074/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182413";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689073";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275611";"";"ENOGEN22SB-CG-0035248";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"038/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182270";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689048";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275850";"";"ENOGEN22SB-CG-0035313";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"061/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182413";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689049";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275615";"";"ENOGEN22SB-CG-0035182";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"072/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182270";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689050";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275849";"";"ENOGEN22SB-CG-0035397";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"073/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182413";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689051";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275852";"";"ENOGEN22SB-CG-0035221";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"075/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182413";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689052";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08263132";"";"ENOGEN22SB-CG-0035314";"00454832";"B00024097";"BORNE ENOVATES";"GOOD";"PAL";"TOTALTCS";"062/0032";"19/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"14";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03178046";"";"";"Etiq_Charge.xml";"";"3";"Non";"-";"Oui";"Non";"";"";"23";"PAL G 14 3 C";"0,00 m";"Non";"0,00";"19/11/25 10:03:54";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATES";"Réservée";"Réservée";"";"";"Non";"";"";"";"12027179";"";"27/03/2026";"";"-";"PREP_17-01";"UNITE";"UNITE";"";"";"";"1";"";"G";"TOTALTCSGOOD"
"08306726";"";"ENOGEN22SB-CG-0035279";"00458103";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"082/0032";"15/12/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03195430";"";"";"Etiq_Charge.xml";"";"4";"Non";"-";"Oui";"Non";"";"";"2";"PAL G 15 4 C";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11737915";"";"19/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275853";"";"ENOGEN22SB-CG-0035216";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"077/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182413";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689053";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275848";"";"ENOGEN22SB-CG-0035215";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"078/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182413";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689054";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275614";"";"ENOGEN22SB-CG-0035282";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"079/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182270";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689055";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275613";"";"ENOGEN22SB-CG-0035281";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"080/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182270";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689056";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08275608";"";"ENOGEN22SB-CG-0035238";"00455613";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"083/0032";"25/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03182270";"";"";"Etiq_Charge.xml";"";"2";"Non";"-";"Oui";"Non";"";"";"1";"PAL G 15 2 B";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11689057";"";"04/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08250964";"";"ENOGEN22SB-CG-0034716";"00453734";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"009/0030";"07/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03173110";"";"";"Etiq_Charge.xml";"";"4";"Non";"-";"Oui";"Non";"";"";"19";"PAL G 15 4 B";"0,00 m";"Non";"0,00";"07/11/25 11:18:19";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11722297";"";"15/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08250998";"";"ENOGEN22SB-CG-0034722";"00453734";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"011/0030";"07/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03173160";"";"";"Etiq_Charge.xml";"";"4";"Non";"-";"Oui";"Non";"";"";"79";"PAL G 15 4 B";"0,00 m";"Non";"0,00";"07/11/25 11:58:39";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11722301";"";"15/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08250855";"";"ENOGEN22SB-CG-0034720";"00453734";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"012/0030";"07/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03172988";"";"";"Etiq_Charge.xml";"";"4";"Non";"-";"Oui";"Non";"";"";"60";"PAL G 15 4 B";"0,00 m";"Non";"0,00";"07/11/25 10:24:21";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11722303";"";"15/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
"08279311";"";"ENOGEN22SB-CG-0035467";"00455967";"B00024220";"BORNE ENOVATES";"GOOD";"APP";"TETCSV";"089/0032";"27/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"01";"01";"REC";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"A";"A";"0,00 Kg";"Non";"";"03184368";"";"";"Etiq_Charge.xml";"0";"0";"Non";"-";"Oui";"Non";"";"";"2";"APP A 01 0 A";"0,00 m";"Non";"0,00";"";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11787710";"";"12/01/2026";"";"-";"";"UNITE";"UNITE";"";"";"1";"1";"F";"A";"TETCSVGOOD"
"08250961";"";"ENOGEN22SB-CG-0034724";"00453734";"B00024220";"BORNE ENOVATES";"GOOD";"PAL";"TETCSV";"014/0030";"07/11/2025";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"0A010T2S0031231";"Non";"Non";"";"15";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03173102";"";"";"Etiq_Charge.xml";"";"4";"Non";"-";"Oui";"Non";"";"";"67";"PAL G 15 4 B";"0,00 m";"Non";"0,00";"07/11/25 11:13:46";"0,00 m";"";"";"";"";"";"Non";"";"ENOVATS";"Réservée";"Réservée";"";"";"Non";"";"";"";"11722307";"";"15/12/2025";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TETCSVGOOD"
